=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	Correlation Ranking Filter
Ranked attributes:
 0.0253655    148 verbs that are nouns frequency
 0.0246983    182 cars frequency
 0.0246831     30 Words of length 16
 0.0234233     58 Frequency of semicolon
 0.0230512     24 Words of length 10
 0.0227348     29 Words of length 15
 0.0223727    227 flowers frequency
 0.0219164    231 male frequency
 0.0218571    209 circus frequency
 0.0209837     66 Emoticon smile
 0.0208978     85 Emotion circumplex hist bin 0
 0.0208014     53 Frequency of equal
 0.0208014     90 Emotion circumplex hist bin 5
 0.0203648     54 Frequency of star
 0.0200814    213 fruits frequency
 0.0197343     17 Words of length 3
 0.0192179     27 Words of length 13
 0.0191648    201 public buildings frequency
 0.0185177    187 summer frequency
 0.0184722    189 weather frequency
 0.0184062    220 roads frequency
 0.0182543    218 house frequency
 0.0179633    200 buildings frequency
 0.0176948     91 Emotion circumplex hist bin 6
 0.0174159    158 food frequency
 0.0166416    222 weapons frequency
 0.0150444    178 fish frequency
 0.0140353    150 math frequency
 0.014009     179 birds frequency
 0.0137728    147 verbs frequency
 0.0136472    180 reptiles frequency
 0.0129543    157 elections frequency
 0.0120456    225 acquaintances frequency
 0.0120424    163 countries frequency
 0.0118565    156 lanuages frequency
 0.0111602     89 Emotion circumplex hist bin 4
 0.0107077    181 insects frequency
 0.0105716    146 pronouns frequency
 0.0103935    207 fair frequency
 0.0099408    174 colors frequency
 0.0092882    169 musical instruments frequency
 0.0092776    235 Soundex homogeneity maximum
 0.0086114    224 containers frequency
 0.0083245    103 positive words min
 0.0080417    165 dance frequency
 0.0079711    221 rocks and minerals frequency
 0.0070946    215 furnitures frequency
 0.0070121     33 Word homogeneity maximum
 0.0064291    196 time frequency
 0.0064205     77 Sentence length hist bin 5
 0.0060566     82 Emotion circumplex
 0.0060016     26 Words of length 12
 0.004639     202 birthday frequency
 0.0045016    226 yard frequency
 0.0042617    192 body frequency
 0.0037485    190 vacation frequency
 0.0035416    100 positive words frequency
 0.0033471     73 Sentence length hist bin 1
 0.0033358    211 cooking frequency
 0.0031955    185 fall frequency
 0.0029096    176 dogs frequency
 0.0024657    168 familiy frequency
 0.0021442    194 trees frequency
 0.0020524    144 adverbs frequency
 0.0013396     25 Words of length 11
 0.0000952    204 office frequency
 0             67 Emoticon wink
 0             48 Frequency of backslash
 0             68 Emoticon sad
 0            117 negative words min
 0             88 Emotion circumplex hist bin 3

Selected attributes: 4,2,8,42,44,6,236,232,70,3,52,69,71,31,233,35,5,79,9,41,45,34,75,72,13,240,98,120,137,129,138,132,10,106,133,14,46,105,102,136,104,130,107,74,135,116,134,101,139,228,124,108,210,110,119,118,93,94,115,140,20,50,126,113,95,109,131,40,63,62,76,195,141,96,197,112,127,229,121,219,122,239,60,38,49,191,198,21,43,39,171,111,7,161,153,81,19,36,123,64,183,206,57,16,143,61,203,237,160,214,145,125,193,78,15,142,65,186,164,162,177,217,56,238,149,84,59,92,97,166,152,11,172,151,208,55,51,23,205,155,22,99,167,18,223,175,212,170,47,86,114,83,234,37,199,230,128,80,12,154,173,216,28,32,188,184,87,159,148,182,30,58,24,29,227,231,209,66,85,53,90,54,213,17,27,201,187,189,220,218,200,91,158,222,178,150,179,147,180,157,225,163,156,89,181,146,207,174,169,235,224,103,165,221,215,33,196,77,82,26,202,226,192,190,100,73,211,185,176,168,194,144,25,204,67,48,68,117,88 : 239

