=== Run information ===

Evaluator:    weka.attributeSelection.SymmetricalUncertAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	Symmetrical Uncertainty Ranking Filter

Ranked attributes:
 0.01105     80 Automated readability index
 0.01072     61 Upper case word mean
 0.01063     64 Quotation length stddev
 0.01055    122 negative words hist bin 2
 0.01049    239 Soundex homoganity hist bin 3
 0.01028     18 Words of length 4
 0.01019     16 Words of length 2
 0.01002     17 Words of length 3
 0.00941    222 weapons frequency
 0.00845    226 yard frequency
 0.00798     57 Frequency of open squarebrace
 0.00784    121 negative words hist bin 1
 0.00656    176 dogs frequency
 0.00508     56 Frequency of open curlybrace
 0          152 science fields frequency
 0           58 Frequency of semicolon
 0           59 Frequency of colon
 0           87 Emotion circumplex hist bin 2
 0          156 lanuages frequency
 0           53 Frequency of equal
 0           54 Frequency of star
 0           55 Frequency of and sign
 0          155 school frequency
 0           12 FFT histogram bin 4
 0          125 negative words hist bin 5
 0           66 Emoticon smile
 0          206 camping frequency
 0           11 FFT histogram bin 3
 0           82 Emotion circumplex
 0          180 reptiles frequency
 0            7 FFT min
 0          177 cats frequency
 0           83 Emotion circumplex mean
 0          143 adjectives frequency
 0          123 negative words hist bin 3
 0           47 Frequency of plus
 0          103 positive words min
 0          213 fruits frequency
 0           91 Emotion circumplex hist bin 6
 0           92 Emotion circumplex hist bin 7
 0           90 Emotion circumplex hist bin 5
 0           84 Emotion circumplex stddev
 0           88 Emotion circumplex hist bin 3
 0           43 Frequency of fullstop
 0           89 Emotion circumplex hist bin 4
 0           48 Frequency of backslash
 0           67 Emoticon wink
 0          117 negative words min
 0           27 Words of length 13
 0           26 Words of length 12
 0           86 Emotion circumplex hist bin 1
 0           28 Words of length 14
 0           29 Words of length 15
 0           30 Words of length 16
 0          227 flowers frequency
 0           85 Emotion circumplex hist bin 0
 0           68 Emoticon sad

Selected attributes: 4,8,2,6,44,35,233,71,31,69,42,45,75,70,5,52,3,237,197,41,232,236,74,13,230,240,228,37,195,183,114,36,217,238,186,46,200,191,160,9,229,168,223,99,150,189,51,38,161,34,93,77,204,60,10,205,225,116,212,218,95,166,211,164,79,100,215,171,190,21,22,94,198,96,159,65,169,214,170,62,63,188,120,174,184,14,19,173,134,50,40,142,76,196,220,219,73,221,138,144,98,23,172,178,207,192,32,167,24,106,127,137,119,118,199,157,33,224,231,15,136,104,105,72,132,102,101,133,141,113,115,129,130,140,158,139,235,201,145,153,209,187,234,179,110,97,135,20,149,124,128,39,81,162,185,208,181,182,112,107,165,109,154,216,148,131,210,202,203,126,163,108,193,151,194,146,147,78,49,111,25,175,80,61,64,122,239,18,16,17,222,226,57,121,176,56,152,58,59,87,156,53,54,55,155,12,125,66,206,11,82,180,7,177,83,143,123,47,103,213,91,92,90,84,88,43,89,48,67,117,27,26,86,28,29,30,227,85,68 : 239

