=== Run information ===

Evaluator:    weka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     output
Instances:    2292
Attributes:   240
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1 Class):
	OneR feature evaluator.

	Using 10 fold cross validation for evaluating attributes.
	Minimum bucket size for OneR: 6

Ranked attributes:
51.35253    131 hapiness words min
51.26527    163 countries frequency
51.26527    122 negative words hist bin 2
51.17801    121 negative words hist bin 1
51.13438    234 Soundex homogeneity StdDev
51.13438    156 lanuages frequency
51.00349     92 Emotion circumplex hist bin 7
50.95986    143 adjectives frequency
50.95986     29 Words of length 15
50.95986     50 Frequency of exclamation
50.91623     21 Words of length 7
50.91623     84 Emotion circumplex stddev
50.8726     123 negative words hist bin 3
50.8726      83 Emotion circumplex mean
50.78534     11 FFT histogram bin 3
50.78534     28 Words of length 14
50.74171    125 negative words hist bin 5
50.65445    152 science fields frequency
50.65445     30 Words of length 16
50.61082     59 Frequency of colon
50.61082     81 Coleman�Liau index
50.47993     55 Frequency of and sign
50.4363      12 FFT histogram bin 4
50.4363      85 Emotion circumplex hist bin 0
50.34904     57 Frequency of open squarebrace
50.30541     86 Emotion circumplex hist bin 1
50.26178     87 Emotion circumplex hist bin 2
50.26178     43 Frequency of fullstop
50.26178     58 Frequency of semicolon
50.21815     56 Frequency of open curlybrace
50.21815     66 Emoticon smile
50.21815     89 Emotion circumplex hist bin 4
50.21815     90 Emotion circumplex hist bin 5
50.21815     53 Frequency of equal
50.21815     67 Emoticon wink
50.21815     68 Emoticon sad
50.21815     48 Frequency of backslash
50.21815     91 Emotion circumplex hist bin 6
50.21815    117 negative words min
50.21815     47 Frequency of plus
50.21815     88 Emotion circumplex hist bin 3
50.17452     54 Frequency of star
50.17452    103 positive words min
50.08726     15 Words of length 1
50           49 Frequency of forwardslash
49.25829     82 Emotion circumplex

Selected attributes: 4,8,2,42,6,41,35,31,52,5,69,237,37,45,44,233,230,38,9,240,71,13,62,215,238,236,223,33,231,214,207,23,183,3,99,65,232,209,165,63,98,36,198,199,167,75,70,195,159,235,79,51,186,34,157,218,220,40,155,97,96,74,153,151,174,162,217,205,114,164,72,221,201,185,178,179,76,196,204,181,77,172,193,46,202,187,210,188,168,228,224,226,171,24,208,64,32,225,222,60,182,194,197,200,192,212,154,239,100,184,10,166,20,61,78,229,203,95,19,144,73,180,175,216,161,25,206,142,170,211,94,39,191,22,219,173,190,150,26,158,17,149,160,189,147,115,120,106,129,93,113,102,141,136,27,104,132,138,133,134,105,139,135,110,130,127,116,118,119,176,101,177,140,137,213,14,112,145,7,124,146,107,108,109,169,128,148,126,80,227,16,111,18,131,163,122,121,234,156,92,143,29,50,21,84,123,83,11,28,125,152,30,59,81,55,12,85,57,86,87,43,58,56,66,89,90,53,67,68,48,91,117,47,88,54,103,15,49,82 : 239

